day_hr,num_trades,total_usd,total_fees_usd,num_new_positions,liq_usd_added,liq_usd_net
2021-10-09 10:00:00.000 UTC,1361,3.189936027019549e+07,77773.41515194399,17,1.678964953171196e+06,361744.9990130102
2021-09-16 12:00:00.000 UTC,1893,5.839212787072944e+07,153817.83571038104,13,504898.5883162394,-495126.9484218815
2021-09-12 05:00:00.000 UTC,1244,2.3429646838985622e+07,46037.64498255019,20,971893.1198395516,394068.8434556239
2021-08-30 05:00:00.000 UTC,1399,3.132862900120767e+07,62079.727819467545,12,1.8351452083875835e+06,254434.94879296425
2021-07-01 23:00:00.000 UTC,2071,2.6371582353254307e+07,41246.190813695335,63,3.923083954628597e+07,-1.9823476862433173e+06
2023-07-11 05:00:00.000 UTC,1039,6.657593036682421e+06,8239.42133656314,10,515536.0646258881,-265812.44086795405
2023-06-22 07:00:00.000 UTC,1746,2.3356489431071747e+07,23873.206089854615,21,4.626021401813174e+06,2.906338234077059e+06
2023-05-31 23:00:00.000 UTC,2111,1.5455482649710504e+07,26160.742158293575,13,1.2034775220416514e+06,126674.74228069719
2023-05-09 16:00:00.000 UTC,2775,3.6445813985854425e+07,72231.71888112674,12,3.281152398477478e+06,125771.09022747731
2023-05-07 17:00:00.000 UTC,2336,1.895701367359194e+07,49429.326129153436,3,16210.080978000604,-120137.63097167228
2023-04-20 13:00:00.000 UTC,2283,4.142935863454701e+07,57987.376701742935,29,8.079377654815136e+07,-2.661412443595051e+06
2023-04-17 02:00:00.000 UTC,1649,3.358257923990611e+07,35363.78227928545,18,3.9494960071418956e+06,469347.48368177155
2023-03-28 23:00:00.000 UTC,1481,1.4687324028834317e+07,19011.14913118959,11,1.373916299827918e+06,725932.5709236078
2023-02-28 18:00:00.000 UTC,2211,2.6607526660591226e+07,41998.191586182584,40,4.7422213282328166e+07,-586410.4652195486
2023-02-27 13:00:00.000 UTC,3080,7.013521885437912e+07,82451.91504768416,47,1.0504138846977255e+08,441684.8171156629
2023-02-09 04:00:00.000 UTC,3544,7.454780449808416e+07,92900.23447441007,54,1.5515651225625846e+08,1.755468570784675e+06
2023-01-31 13:00:00.000 UTC,2126,3.1944806295022663e+07,35064.459903096125,41,1.9500357749450898e+08,-982442.6081316136
2023-01-21 15:00:00.000 UTC,2635,6.310242301233811e+07,57257.05019560928,44,2.0768801004052624e+08,-4.292420241788955e+06
2023-01-11 14:00:00.000 UTC,1932,1.826656449578779e+07,24550.456567653237,31,1.244463397133412e+08,-219786.41596991537
2022-12-24 13:00:00.000 UTC,864,3.239462664520519e+06,3505.565877449897,26,9.950153272260633e+07,98471.12099907409
2022-11-29 03:00:00.000 UTC,1759,1.01166768430744e+07,12856.099218489986,38,1.1459604447524692e+08,1.1256417575368765e+06
2022-09-14 03:00:00.000 UTC,2030,2.8056655740858357e+07,35344.610166568214,62,1.1497540034490108e+08,247621.84834973174
2022-05-23 20:00:00.000 UTC,1660,6.1331705995137736e+07,71163.90706894777,18,4.72992523272201e+07,-1.9001766704755283e+06
2022-05-21 12:00:00.000 UTC,1159,1.8403530114267617e+07,22551.386403925662,18,2.5231768563486673e+07,98140.55164583084
2022-05-17 02:00:00.000 UTC,1169,3.682041681053483e+07,46484.41114775147,17,4.0866019519370265e+07,145260.0048901714
2022-05-09 21:00:00.000 UTC,2195,1.62169696650548e+08,173316.29932856624,16,3.0638296502540853e+07,-3.76852483867844e+06
2022-03-25 03:00:00.000 UTC,1673,3.913343748248106e+07,74036.73230555712,20,8.33992703430692e+06,-1.4929174308614198e+06
2022-03-23 09:00:00.000 UTC,1364,1.061887957178666e+08,177902.5701763103,10,1.2802567155604495e+06,-734600.3780881411
2022-03-12 03:00:00.000 UTC,1297,3.345853102131913e+07,55557.608680191,18,1.0233854842479143e+08,336081.93389798846
2022-03-06 03:00:00.000 UTC,1131,2.8605948727185618e+07,38901.99562863812,12,1.3513676333883535e+06,-485328.6856803205
2022-02-15 06:00:00.000 UTC,1155,4.3019001137546055e+07,54450.38168094309,15,709091.8994478818,174037.22005033944
2022-02-09 19:00:00.000 UTC,1307,9.211827995953768e+07,138174.06678576692,7,1.0273827559033823e+06,913376.6980070578
2022-02-01 02:00:00.000 UTC,849,5.007516196018505e+07,56802.23621213359,9,1.2914870623962928e+07,3.7556312745004673e+06
2022-01-28 08:00:00.000 UTC,1173,8.170354537011996e+07,92584.9015868986,14,2.1511348235258944e+06,-1.192391952915579e+07
